"Observed" "Shannon" "PD" "Status"
2002 6.83301554916682 71.8457135169999 "soil metagenome"
902 3.36889094849368 33.220501529 "root metagenome"
1340 3.53830974638546 43.25537545 "root metagenome"
1420 3.89904898807101 52.974985124 "root metagenome"
1735 3.71980883593069 55.234626335 "root metagenome"
2421 6.20891909464283 77.9215552 "root metagenome"
1740 4.97198998040496 66.885131966 "root metagenome"
1612 4.77663358489431 63.8775322800001 "root metagenome"
1369 3.74828178103806 54.8671987830001 "root metagenome"
916 2.36169459748657 40.244496635 "root metagenome"
1402 4.48322961202029 48.368784314 "root metagenome"
1402 4.54363275733017 47.599478818 "root metagenome"
1199 3.75168792582201 43.77207082 "root metagenome"
1366 4.20473593729151 49.7356347360001 "root metagenome"
1207 3.51170853060992 42.69704595 "root metagenome"
1150 3.41256959190734 44.342184209 "root metagenome"
1294 4.08297719327592 45.386863717 "root metagenome"
1521 4.15478225325597 50.0476362320001 "root metagenome"
1421 4.86558193801094 45.663287363 "root metagenome"
1418 4.74818105820819 45.92535352 "root metagenome"
1383 4.72261735471259 45.9324840340001 "root metagenome"
1309 4.38279921983267 41.793189996 "root metagenome"
974 3.8692148438137 37.1789358800001 "root metagenome"
1154 4.30573673987127 39.289751636 "root metagenome"
1180 4.27241690392563 40.320443953 "root metagenome"
1260 4.10531331642323 40.422281618 "root metagenome"
1222 3.99898232517399 44.540155469 "root metagenome"
1282 4.12305669914566 45.4660560429999 "root metagenome"
1075 4.04693774374504 35.72624797 "root metagenome"
1643 6.69625138612446 50.600883625 "soil metagenome"
1741 6.73095891103122 52.779356899 "soil metagenome"
1890 6.68294249021397 56.195695373 "soil metagenome"
1949 6.84907529054125 59.582301712 "soil metagenome"
2167 6.99226325199601 65.234972933 "soil metagenome"
2442 7.1077031959069 73.735901318 "soil metagenome"
2267 6.99543387076485 67.241290291 "soil metagenome"
2124 6.93068600952004 63.5765332379999 "soil metagenome"
935 3.04711383017146 38.1043080090001 "root metagenome"
999 2.98386886600872 41.2936636280001 "root metagenome"
1180 3.55474108047743 46.558409379 "root metagenome"
1017 3.32056427645083 44.349960119 "root metagenome"
802 3.22559172714972 36.126205163 "root metagenome"
797 3.23450812996002 37.72583037 "root metagenome"
887 3.1556106158717 42.417076417 "root metagenome"
981 3.70917866789243 39.955119208 "root metagenome"
1016 3.53693086228413 41.162944451 "root metagenome"
1171 3.7109479360945 47.165408014 "root metagenome"
1407 4.62785758397155 49.67152986 "root metagenome"
1373 4.40953872226447 48.2445973770001 "root metagenome"
1063 3.85262149842388 40.247419428 "root metagenome"
1267 4.06343995604313 46.646613449 "root metagenome"
1172 3.9991530148172 44.900834555 "root metagenome"
935 3.67701098135782 39.445262238 "root metagenome"
1346 4.25641325533736 48.791166861 "root metagenome"
1298 4.24244554946274 47.518173271 "root metagenome"
1160 4.03642653008758 43.0170370800001 "root metagenome"
2389 6.95164587099615 76.719516877 "soil metagenome"
1161 3.83859954185145 41.326127545 "root metagenome"
1036 4.07313291278815 40.914691313 "root metagenome"
1190 4.48723170170824 41.210118551 "root metagenome"
1241 4.54603230729379 45.316006732 "root metagenome"
1155 3.94723648470228 40.153949623 "root metagenome"
1178 3.93583102886348 43.787879981 "root metagenome"
1196 4.73283345798381 44.442447166 "root metagenome"
1087 3.96049348043215 40.617703943 "root metagenome"
1158 4.12853060434116 44.214912078 "root metagenome"
2223 7.07346632469695 67.1673130649999 "soil metagenome"
2694 7.25908957546712 77.7081026649998 "soil metagenome"
2385 7.09261199488065 69.2471193499998 "soil metagenome"
2285 7.08455927648245 70.5389860909999 "soil metagenome"
2368 7.13707190229886 74.3703324029998 "soil metagenome"
2461 7.0573372840559 72.1803570429998 "soil metagenome"
2218 6.95173539615784 70.9704480109998 "soil metagenome"
1714 6.6790702046078 60.5107025619999 "soil metagenome"
2220 6.90107338991778 70.4710307349999 "soil metagenome"
2009 6.96162032810146 65.7188310039999 "soil metagenome"
1555 4.86889861849602 51.8477013219999 "root metagenome"
1509 4.56148475569572 46.657454062 "root metagenome"
1708 4.84293049987343 51.0828178309999 "root metagenome"
1593 3.91631243504437 51.726290246 "root metagenome"
1471 3.56095722412633 52.723475063 "root metagenome"
1376 3.19670872900104 49.4928172959999 "root metagenome"
1762 4.22494196627272 56.20635289 "root metagenome"
1245 3.72389362355974 46.372333838 "root metagenome"
1534 4.25382942174415 52.1700459789999 "root metagenome"
1419 3.89261096371596 45.816525239 "root metagenome"
1537 4.78646412526664 48.5289849229999 "root metagenome"
1688 4.9399412943126 50.4855636089999 "root metagenome"
1458 4.89192255827082 45.904548416 "root metagenome"
1489 4.73750751068708 46.8401683739999 "root metagenome"
1580 4.83949428500168 51.0613080589999 "root metagenome"
1514 4.81109548115023 51.3148464279999 "root metagenome"
1360 4.02929426571919 47.00186784 "root metagenome"
1488 4.61772465346092 51.02455541 "root metagenome"
1466 4.59060580192633 49.4781561849999 "root metagenome"
1596 4.85224204912382 50.344587042 "root metagenome"
