sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ERR4613277	128578	121585	94.56	114348	103927	80.83	103180	80.25
ERR4613278	365036	343809	94.18	338550	323677	88.67	298944	81.89
ERR4613279	707910	667664	94.31	660044	636977	89.98	595005	84.05
ERR4613280	368498	346288	93.97	341098	327459	88.86	316700	85.94
ERR4613281	742223	696215	93.8	688849	665913	89.72	643746	86.73
ERR4613282	366897	345948	94.29	336747	322274	87.84	316325	86.22
ERR4613283	360627	340362	94.38	332372	317861	88.14	306809	85.08
ERR4613284	341295	321804	94.29	313365	298148	87.36	285460	83.64
ERR4613285	359493	337815	93.97	332076	319445	88.86	306771	85.33
ERR4613286	332244	311611	93.79	308155	299142	90.04	292177	87.94
ERR4613287	339102	319407	94.19	312890	298903	88.15	285316	84.14
ERR4613288	302261	282984	93.62	277139	266048	88.02	257407	85.16
ERR4613289	361089	339664	94.07	334310	321256	88.97	307694	85.21
ERR4613290	372889	351088	94.15	343975	329572	88.38	314600	84.37
ERR4613291	397780	372553	93.66	366698	351949	88.48	335985	84.47
ERR4613292	319395	301326	94.34	295676	283957	88.9	271543	85.02
ERR4613293	339146	320099	94.38	313627	299786	88.39	285877	84.29
ERR4613294	582277	549359	94.35	539325	513166	88.13	479923	82.42
ERR4613295	375491	354019	94.28	346228	327876	87.32	302455	80.55
ERR4613296	377815	356025	94.23	349550	332356	87.97	308066	81.54
ERR4613297	374688	353458	94.33	346772	332734	88.8	318435	84.99
ERR4613298	375990	355634	94.59	349018	334665	89.01	317099	84.34
ERR4613299	305560	288728	94.49	284391	273337	89.45	260416	85.23
ERR4613300	344389	326060	94.68	320725	308520	89.58	291646	84.69
ERR4613301	370287	348783	94.19	343055	329049	88.86	308431	83.3
ERR4613302	523755	493787	94.28	486145	465568	88.89	431089	82.31
ERR4613303	380095	358722	94.38	353235	339744	89.38	321924	84.7
ERR4613304	343204	324148	94.45	318611	306004	89.16	292674	85.28
ERR4613305	378685	356632	94.18	350420	335476	88.59	313220	82.71
ERR4613306	130415	123303	94.55	115941	103048	79.02	101139	77.55
ERR4613307	125752	118931	94.58	111907	99671	79.26	98838	78.6
ERR4613308	154732	145451	94	138060	124801	80.66	122906	79.43
ERR4613309	152467	143491	94.11	136116	122307	80.22	120438	78.99
ERR4613310	166531	156994	94.27	145600	129507	77.77	128243	77.01
ERR4613311	197631	186213	94.22	172138	152512	77.17	150893	76.35
ERR4613312	203830	191860	94.13	180404	162812	79.88	160829	78.9
ERR4613313	179011	169104	94.47	159591	143878	80.37	142240	79.46
ERR4613314	302777	283575	93.66	279213	268486	88.67	259366	85.66
ERR4613315	335475	314241	93.67	309114	297288	88.62	286108	85.28
ERR4613316	339653	317556	93.49	311198	298398	87.85	286688	84.41
ERR4613317	317326	296633	93.48	292313	282010	88.87	273940	86.33
ERR4613318	317032	296800	93.62	292884	284191	89.64	274777	86.67
ERR4613319	329085	308045	93.61	304009	294214	89.4	282664	85.89
ERR4613320	329008	307470	93.45	303629	293862	89.32	284673	86.52
ERR4613321	340549	318046	93.39	313261	301888	88.65	290951	85.44
ERR4613322	277025	259937	93.83	255470	246385	88.94	239142	86.33
ERR4613323	297189	277797	93.47	272259	262644	88.38	255639	86.02
ERR4613324	281656	265415	94.23	258312	245058	87.01	234607	83.3
ERR4613325	313619	295479	94.22	288832	276094	88.03	264877	84.46
ERR4613326	282788	264623	93.58	258652	246264	87.08	232558	82.24
ERR4613327	295597	278820	94.32	272989	259757	87.88	246647	83.44
ERR4613328	314656	295787	94	290485	278663	88.56	266490	84.69
ERR4613329	238263	223503	93.81	219134	208704	87.59	197659	82.96
ERR4613330	336732	316747	94.07	308772	290924	86.4	270206	80.24
ERR4613331	306897	288144	93.89	281509	267494	87.16	255218	83.16
ERR4613332	277971	261083	93.92	256024	244340	87.9	233014	83.83
ERR4613333	214976	204195	94.99	189207	171680	79.86	168542	78.4
ERR4613334	334839	315716	94.29	310053	296383	88.52	279248	83.4
ERR4613335	296758	279578	94.21	274322	262385	88.42	246979	83.23
ERR4613336	306891	289847	94.45	283988	269811	87.92	254780	83.02
ERR4613337	315617	297058	94.12	291789	279517	88.56	265483	84.12
ERR4613338	351746	330433	93.94	325180	313282	89.06	299627	85.18
ERR4613339	433599	407457	93.97	401115	385177	88.83	363132	83.75
ERR4613340	320238	302542	94.47	295402	279074	87.15	254147	79.36
ERR4613341	296528	279058	94.11	274416	264516	89.2	251937	84.96
ERR4613342	355143	335600	94.5	329697	315985	88.97	294945	83.05
ERR4613343	153519	145283	94.64	134184	118358	77.1	117228	76.36
ERR4613344	200752	189963	94.63	176558	156469	77.94	155204	77.31
ERR4613345	166640	157949	94.78	147129	130893	78.55	129527	77.73
ERR4613346	151614	143625	94.73	133234	118768	78.34	118067	77.87
ERR4613347	158218	149774	94.66	138743	122685	77.54	121618	76.87
