"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"Bacteria" "Proteobacteria" "Epsilonproteobacteria" "Nautiliales" "Nautiliaceae" "Caminibacter" "Caminibacter_mediatlanticus"
"Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" NA "planctomycete_DWL3I2"
"Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfohalobiaceae" "Desulfothermus" "Desulfothermus_okinawensis"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Neoaliturus_pulcher"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "'Solanum_tuberosum'_phytoplasma"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Strawberry_phylloid"
"Bacteria" "Firmicutes" "Clostridia" "Halanaerobiales" "Halanaerobiaceae" "Halanaerobium" "Halanaerobium_congolense"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_ruddii"
"Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobacteraceae" "Desulfobacula" "Desulfobacula_phenolica"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_ruddii"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Cellvibrionales" "Cellvibrionaceae" "Eionea" "Eionea_nigra"
"Bacteria" "Firmicutes" "Negativicutes" "Selenomonadales" "Selenomonadaceae" "Selenomonas" "Selenomonas_lipolytica"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Candidatus_Zinderia" "Candidatus_Zinderia_insecticola"
"Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobacteraceae" "Desulfosarcina" "Desulfosarcina_variabilis"
"Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobacteraceae" "Desulfosarcina" "Desulfosarcina_variabilis"
"Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobacteraceae" "Desulfobacter" "Desulfobacter_vibrioformis"
"Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfohalobiaceae" "Desulfothermus" "Desulfothermus_okinawensis"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Alcanivoracaceae" "Marinicella" "Marinicella_pacifica"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Brazilian_Huanglongbing"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasma" "Mycoplasma_parvum"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Strawberry_virescence"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Colombian_periwinkle"
"Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Longicatena" "Longicatena_caecimuris"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Cockscomb_flat"
"Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobacteraceae" "Desulfobacter" "Desulfobacter_curvatus"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Alishewanella" "Alishewanella_alkalitolerans"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_ruddii"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Golden_beard"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Malaysian_periwinkle"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Argentinian_alfalfa"
"Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillaceae" "Ferrovibrio" "Ferrovibrio_xuzhouensis"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Ageratina_anisochroma"
"Bacteria" "Planctomycetes" "Planctomycetia" "Planctomycetales" "Planctomycetaceae" NA "planctomycete_MS3065"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Cockscomb_flat"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Cockscomb_flat"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Cockscomb_flat"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Firmicutes" "Clostridia" "Eubacteriales" "Clostridiaceae" "Alkaliphilus" "Alkaliphilus_crotonatoxidans"
"Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Candidatus_Zinderia" "Candidatus_Zinderia_insecticola"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Pineapple_proliferation"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Pineapple_proliferation"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Pineapple_proliferation"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Pineapple_proliferation"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Faba_bean"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Chinaberry_yellows"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Chinaberry_yellows"
"Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mesomycoplasma" "Mesomycoplasma_moatsii"
"Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Olivibacter" "Olivibacter_domesticus"
"Bacteria" "Firmicutes" "Tissierellia" "Tissierellales" "Tissierellaceae" "Tepidimicrobium" "Tepidimicrobium_xylanilyticum"
"Bacteria" "Firmicutes" "Tissierellia" "Tissierellales" "Tissierellaceae" "Tepidimicrobium" "Tepidimicrobium_xylanilyticum"
"Bacteria" "Bacteroidetes" "Bacteroidia" "Marinilabiliales" "Marinilabiliaceae" "Carboxylicivirga" "Carboxylicivirga_taeanensis"
"Bacteria" "Bacteroidetes" "Bacteroidia" "Marinilabiliales" "Marinilabiliaceae" "Carboxylicivirga" "Carboxylicivirga_taeanensis"
"Bacteria" "Bacteroidetes" "Bacteroidia" "Marinilabiliales" "Marinilabiliaceae" "Carboxylicivirga" "Carboxylicivirga_taeanensis"
"Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "Flavobacteriaceae" "Neptunitalea" "Neptunitalea_chrysea"
"Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cyclobacteriaceae" "Mongoliicoccus" "Mongoliicoccus_alkaliphilus"
"Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cyclobacteriaceae" "Mongoliicoccus" "Mongoliicoccus_alkaliphilus"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_ruddii"
"Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Pedobacter" "Pedobacter_yulinensis"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Chinaberry_yellows"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Thiotrichales" "Francisellaceae" "Francisella" "Francisella_salimarina"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Thiotrichales" "Fastidiosibacteraceae" "Fastidiosibacter" "Fastidiosibacter_lacustris"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Australian_lucerne"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Australian_lucerne"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Australian_lucerne"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Australian_lucerne"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Australian_lucerne"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Australian_lucerne"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Australian_lucerne"
"Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "bacterium_New"
"Bacteria" "Firmicutes" "Clostridia" "Eubacteriales" "Lachnospiraceae" "Enterocloster" "Enterocloster_asparagiformis"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Turkish_potato"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Thiotrichales" "Francisellaceae" "Candidatus_Nebulobacter" "Candidatus_Nebulobacter_yamunensis"
"Bacteria" "Chlamydiae" "Chlamydiia" "Parachlamydiales" "Simkaniaceae" "Candidatus_Fritschea" "Candidatus_Fritschea_eriococci"
"Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cesiribacteraceae" "Cesiribacter" "Cesiribacter_andamanensis"
"Bacteria" "Firmicutes" "Clostridia" "Eubacteriales" "Lachnospiraceae" "Lachnospiraceae_NK3A20_group" "Firmicutes_oral"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Thiotrichales" "Fastidiosibacteraceae" "Fangia" "Fangia_hongkongensis"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Thiotrichales" "Fastidiosibacteraceae" "Fangia" "Fangia_hongkongensis"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Thiotrichales" "Fastidiosibacteraceae" "Fangia" "Fangia_hongkongensis"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Thiotrichales" "Fastidiosibacteraceae" "Fangia" "Fangia_hongkongensis"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Candidatus_Ishikawaella" "Candidatus_Ishikawaella_capsulata"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Strawberry_virescence"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Enterobacterales" "Enterobacteriaceae" "Candidatus_Kleidoceria" "Candidatus_Kleidoceria_schneideri"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_ruddii"
"Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Halomonadaceae" "Candidatus_Carsonella" "Candidatus_Carsonella_Carsonella"
"Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Neoaliturus_pulcher"
"Bacteria" "Firmicutes" "Clostridia" "Eubacteriales" "Oscillospiraceae" "Ruminococcus" "Ruminococcus_bicirculans"
"Bacteria" "Firmicutes" "Clostridia" "Eubacteriales" "Oscillospiraceae" "Ruminococcus" "Ruminococcus_bicirculans"
