"Var1" "Freq"
"Abditibacteriota" 54
"Acidobacteria" 2708
"Actinobacteria" 3607
"AncK6" 3
"Aquificae" 40
"Armatimonadetes" 194
"Bacteroidetes" 4485
"Balneolaeota" 19
"Caldatribacteriota" 4
"Calditrichaeota" 37
"candidate_division_NC10" 81
"candidate_division_Zixibacteria" 25
"Candidatus_Aminicenantes" 12
"Candidatus_Berkelbacteria" 11
"Candidatus_Cloacimonetes" 1
"Candidatus_Diapherotrites" 2
"Candidatus_Gracilibacteria" 31
"Candidatus_Hydrogenedentes" 83
"Candidatus_Hydrothermae" 1
"Candidatus_Korarchaeota" 1
"Candidatus_Melainabacteria" 241
"Candidatus_Micrarchaeota" 1
"Candidatus_Omnitrophica" 84
"Candidatus_Pacebacteria" 4
"Candidatus_Parvarchaeota" 1
"Candidatus_Saccharibacteria" 11
"Candidatus_Thermoplasmatota" 52
"Candidatus_Verstraetearchaeota" 3
"Candidatus_Woesearchaeota" 86
"Chlamydiae" 266
"Chlorobi" 38
"Chloroflexi" 3434
"Chrysiogenetes" 19
"Cloacimonadota" 4
"Crenarchaeota" 18
"Cyanobacteria" 780
"Deferribacteres" 5
"Deinococcus-Thermus" 76
"Elusimicrobia" 14
"Euryarchaeota" 185
"Fibrobacteres" 130
"Firmicutes" 5044
"Fusobacteria" 26
"Gemmatimonadetes" 1313
"Ignavibacteriae" 95
"Latescibacterota" 27
"LCP-89" 5
"Lentisphaerae" 10
"MBNT15" 392
"Nanoarchaeota" 87
"NB1-j" 29
"Nitrospinae" 1
"Nitrospirae" 119
"Planctomycetes" 5577
"Poribacteria" 1
"Proteobacteria" 17774
"RCP2-54" 39
"Rhodothermaeota" 31
"SAR324_clade(Marine_group_B)" 53
"Spirochaetes" 249
"Synergistetes" 67
"Tenericutes" 756
"Thaumarchaeota" 87
"Thermodesulfobacteria" 33
"Thermotogae" 34
"Verrucomicrobia" 2541
"WOR-1" 3
"WPS-2" 20
NA 1172
