"OTU" "p_value" "BH_FDR" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"X4127db4dd0b5d6079e78cc66ec22694b" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X6b037a9f4ffbcfcac131574b1fd3945d" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X78cd8f8179dc6e7b6988fcf8b8b76f01" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"b5b1082796a98e462a475be0268010b8" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Tenericutes" "Mollicutes" "Acholeplasmatales" "Acholeplasmataceae" "Candidatus_Phytoplasma" "Neoaliturus_pulcher"
"X7e151b21d7a0f93f0329c6c0dd12417a" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X716e87cf9842e4316b35fa5b42c92929" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X4824371ee3e7c161653488bb1cc37564" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"ff37aa37b0fdc95ea66328ac48b704eb" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Firmicutes" "Clostridia" "Eubacteriales" "Clostridiaceae" "Clostridium" "Clostridium_ruminantium"
"bacbf2dbaaf6a75b104ecdabb02c0d1b" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Tenericutes" "Mollicutes" "Mycoplasmatales" "Mycoplasmataceae" "Mycoplasmopsis" "Mycoplasmopsis_cricetuli"
"X5853c26f7d48c94141012efe6230c7d7" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"a449ccb7aebe8228322ed7cb7d2a35f7" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobacteraceae" "Desulfofrigus" "Desulfofrigus_fragile"
"X89a39ab7f011bb5c2e5e143f0da2b4be" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"dfa4b1fe7cfef761f715e211b73c7571" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Nostocales" "Fortieaceae" "Fortiea" "Fortiea_laiensis"
"X4cb6e02a0e5f5eb7f1f7d672698fd1aa" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"cd35025a3a98be4997ee5bf1d640a1d7" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Nostocales" "Symphyonemataceae" "Loriellopsis" "Loriellopsis_cavernicola"
"c2b2a414fb7957753931912f8b2321cc" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"c40fd0918388ea9100cca411645a5580" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"X1a744b03aac8d840f09f1a51efb73ed8" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X930b1c48a584167e9c0a58a5ff8b1cde" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X7b0408a7725bedff88bf426204a03e5b" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X470b00122661fdc38169b72d8b568b49" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X3bb38abb9f2287b62e5514e9f3b2879c" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X4762ee06cfc23bf9f1df288a44c6d335" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X92076ef7548ec1cce64867a788f2befc" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"f507737218c0660ea5e798fa794f26c4" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
